"Cтатус","Количество"
"Final","https://peps.python.org//pep-0261","PEP 261 – Support for “wide” Unicode characters"
"Deferred","https://peps.python.org//pep-0262","PEP 262 – A Database of Installed Python Packages"
"Final","https://peps.python.org//pep-0263","PEP 263 – Defining Python Source Code Encodings"
"Final","https://peps.python.org//pep-0264","PEP 264 – Future statements in simulated shells"
"Rejected","https://peps.python.org//pep-0265","PEP 265 – Sorting Dictionaries by Value"
"Withdrawn","https://peps.python.org//pep-0266","PEP 266 – Optimizing Global Variable/Attribute Access"
"Deferred","https://peps.python.org//pep-0267","PEP 267 – Optimized Access to Module Namespaces"
"Rejected","https://peps.python.org//pep-0268","PEP 268 – Extended HTTP functionality and WebDAV"
"Deferred","https://peps.python.org//pep-0269","PEP 269 – Pgen Module for Python"
"Rejected","https://peps.python.org//pep-0270","PEP 270 – uniq method for list objects"
"Rejected","https://peps.python.org//pep-0271","PEP 271 – Prefixing sys.path by command line option"
"Final","https://peps.python.org//pep-0272","PEP 272 – API for Block Encryption Algorithms v1.0"
"Final","https://peps.python.org//pep-0273","PEP 273 – Import Modules from Zip Archives"
"Final","https://peps.python.org//pep-0274","PEP 274 – Dict Comprehensions"
"Rejected","https://peps.python.org//pep-0275","PEP 275 – Switching on Multiple Values"
"Rejected","https://peps.python.org//pep-0276","PEP 276 – Simple Iterator for ints"
"Final","https://peps.python.org//pep-0277","PEP 277 – Unicode file name support for Windows NT"
"Final","https://peps.python.org//pep-0278","PEP 278 – Universal Newline Support"
"Final","https://peps.python.org//pep-0279","PEP 279 – The enumerate() built-in function"
"Deferred","https://peps.python.org//pep-0280","PEP 280 – Optimizing access to globals"
"Rejected","https://peps.python.org//pep-0281","PEP 281 – Loop Counter Iteration with range and xrange"
"Final","https://peps.python.org//pep-0282","PEP 282 – A Logging System"
"Final","https://peps.python.org//pep-0283","PEP 283 – Python 2.3 Release Schedule"
"Rejected","https://peps.python.org//pep-0284","PEP 284 – Integer for-loops"
"Final","https://peps.python.org//pep-0285","PEP 285 – Adding a bool type"
"Deferred","https://peps.python.org//pep-0286","PEP 286 – Enhanced Argument Tuples"
"Active","https://peps.python.org//pep-0287","PEP 287 – reStructuredText Docstring Format"
"Withdrawn","https://peps.python.org//pep-0288","PEP 288 – Generators Attributes and Exceptions"
"Final","https://peps.python.org//pep-0289","PEP 289 – Generator Expressions"
"Active","https://peps.python.org//pep-0290","PEP 290 – Code Migration and Modernization"
"Final","https://peps.python.org//pep-0291","PEP 291 – Backward Compatibility for the Python 2 Standard Library"
"Final","https://peps.python.org//pep-0292","PEP 292 – Simpler String Substitutions"
"Final","https://peps.python.org//pep-0293","PEP 293 – Codec Error Handling Callbacks"
"Rejected","https://peps.python.org//pep-0294","PEP 294 – Type Names in the types Module"
"Rejected","https://peps.python.org//pep-0295","PEP 295 – Interpretation of multiline string constants"
"Withdrawn","https://peps.python.org//pep-0296","PEP 296 – Adding a bytes Object Type"
"Rejected","https://peps.python.org//pep-0297","PEP 297 – Support for System Upgrades"
"Withdrawn","https://peps.python.org//pep-0298","PEP 298 – The Locked Buffer Interface"
"Rejected","https://peps.python.org//pep-0299","PEP 299 – Special __main__() function in modules"
"Final","https://peps.python.org//pep-0301","PEP 301 – Package Index and Metadata for Distutils"
"Final","https://peps.python.org//pep-0302","PEP 302 – New Import Hooks"
"Rejected","https://peps.python.org//pep-0303","PEP 303 – Extend divmod() for Multiple Divisors"
"Withdrawn","https://peps.python.org//pep-0304","PEP 304 – Controlling Generation of Bytecode Files"
"Final","https://peps.python.org//pep-0305","PEP 305 – CSV File API"
"Withdrawn","https://peps.python.org//pep-0306","PEP 306 – How to Change Python’s Grammar"
"Final","https://peps.python.org//pep-0307","PEP 307 – Extensions to the pickle protocol"
"Final","https://peps.python.org//pep-0308","PEP 308 – Conditional Expressions"
"Final","https://peps.python.org//pep-0309","PEP 309 – Partial Function Application"
"Rejected","https://peps.python.org//pep-0310","PEP 310 – Reliable Acquisition/Release Pairs"
"Final","https://peps.python.org//pep-0311","PEP 311 – Simplified Global Interpreter Lock Acquisition for Extensions"
"Deferred","https://peps.python.org//pep-0312","PEP 312 – Simple Implicit Lambda"
"Rejected","https://peps.python.org//pep-0313","PEP 313 – Adding Roman Numeral Literals to Python"
"Final","https://peps.python.org//pep-0314","PEP 314 – Metadata for Python Software Packages v1.1"
"Rejected","https://peps.python.org//pep-0315","PEP 315 – Enhanced While Loop"
"Deferred","https://peps.python.org//pep-0316","PEP 316 – Programming by Contract for Python"
"Rejected","https://peps.python.org//pep-0317","PEP 317 – Eliminate Implicit Exception Instantiation"
"Final","https://peps.python.org//pep-0318","PEP 318 – Decorators for Functions and Methods"
"Rejected","https://peps.python.org//pep-0319","PEP 319 – Python Synchronize/Asynchronize Block"
"Final","https://peps.python.org//pep-0320","PEP 320 – Python 2.4 Release Schedule"
"Withdrawn","https://peps.python.org//pep-0321","PEP 321 – Date/Time Parsing and Formatting"
"Final","https://peps.python.org//pep-0322","PEP 322 – Reverse Iteration"
"Deferred","https://peps.python.org//pep-0323","PEP 323 – Copyable Iterators"
"Final","https://peps.python.org//pep-0324","PEP 324 – subprocess - New process module"
"Rejected","https://peps.python.org//pep-0325","PEP 325 – Resource-Release Support for Generators"
"Rejected","https://peps.python.org//pep-0326","PEP 326 – A Case for Top and Bottom Values"
"Final","https://peps.python.org//pep-0327","PEP 327 – Decimal Data Type"
"Final","https://peps.python.org//pep-0328","PEP 328 – Imports: Multi-Line and Absolute/Relative"
"Rejected","https://peps.python.org//pep-0329","PEP 329 – Treating Builtins as Constants in the Standard Library"
"Rejected","https://peps.python.org//pep-0330","PEP 330 – Python Bytecode Verification"
"Final","https://peps.python.org//pep-0331","PEP 331 – Locale-Independent Float/String Conversions"
"Rejected","https://peps.python.org//pep-0332","PEP 332 – Byte vectors and String/Unicode Unification"
"Final","https://peps.python.org//pep-0333","PEP 333 – Python Web Server Gateway Interface v1.0"
"Withdrawn","https://peps.python.org//pep-0334","PEP 334 – Simple Coroutines via SuspendIteration"
"Rejected","https://peps.python.org//pep-0335","PEP 335 – Overloadable Boolean Operators"
"Rejected","https://peps.python.org//pep-0336","PEP 336 – Make None Callable"
"Deferred","https://peps.python.org//pep-0337","PEP 337 – Logging Usage in the Standard Library"
"Final","https://peps.python.org//pep-0338","PEP 338 – Executing modules as scripts"
"Withdrawn","https://peps.python.org//pep-0339","PEP 339 – Design of the CPython Compiler"
"Rejected","https://peps.python.org//pep-0340","PEP 340 – Anonymous Block Statements"
"Final","https://peps.python.org//pep-0341","PEP 341 – Unifying try-except and try-finally"
"Final","https://peps.python.org//pep-0342","PEP 342 – Coroutines via Enhanced Generators"
"Final","https://peps.python.org//pep-0343","PEP 343 – The “with” Statement"
"Superseded","https://peps.python.org//pep-0344","PEP 344 – Exception Chaining and Embedded Tracebacks"
"Final","https://peps.python.org//pep-0345","PEP 345 – Metadata for Python Software Packages 1.2"
"Withdrawn","https://peps.python.org//pep-0346","PEP 346 – User Defined (”with”) Statements"
"Final","https://peps.python.org//pep-0347","PEP 347 – Migrating the Python CVS to Subversion"
"Rejected","https://peps.python.org//pep-0348","PEP 348 – Exception Reorganization for Python 3.0"
"Rejected","https://peps.python.org//pep-0349","PEP 349 – Allow str() to return unicode strings"
"Rejected","https://peps.python.org//pep-0350","PEP 350 – Codetags"
"Rejected","https://peps.python.org//pep-0351","PEP 351 – The freeze protocol"
"Final","https://peps.python.org//pep-0352","PEP 352 – Required Superclass for Exceptions"
"Final","https://peps.python.org//pep-0353","PEP 353 – Using ssize_t as the index type"
"Superseded","https://peps.python.org//pep-0354","PEP 354 – Enumerations in Python"
"Rejected","https://peps.python.org//pep-0355","PEP 355 – Path - Object oriented filesystem paths"
"Final","https://peps.python.org//pep-0356","PEP 356 – Python 2.5 Release Schedule"
"Final","https://peps.python.org//pep-0357","PEP 357 – Allowing Any Object to be Used for Slicing"
"Final","https://peps.python.org//pep-0358","PEP 358 – The “bytes” Object"
"Withdrawn","https://peps.python.org//pep-0359","PEP 359 – The “make” Statement"
"Final","https://peps.python.org//pep-0360","PEP 360 – Externally Maintained Packages"
"Final","https://peps.python.org//pep-0361","PEP 361 – Python 2.6 and 3.0 Release Schedule"
"Final","https://peps.python.org//pep-0362","PEP 362 – Function Signature Object"
"Rejected","https://peps.python.org//pep-0363","PEP 363 – Syntax For Dynamic Attribute Access"
"Withdrawn","https://peps.python.org//pep-0364","PEP 364 – Transitioning to the Py3K Standard Library"
"Rejected","https://peps.python.org//pep-0365","PEP 365 – Adding the pkg_resources module"
"Final","https://peps.python.org//pep-0366","PEP 366 – Main module explicit relative imports"
"Superseded","https://peps.python.org//pep-0367","PEP 367 – New Super"
"Deferred","https://peps.python.org//pep-0368","PEP 368 – Standard image protocol and class"
"Withdrawn","https://peps.python.org//pep-0369","PEP 369 – Post import hooks"
"Final","https://peps.python.org//pep-0370","PEP 370 – Per user site-packages directory"
"Final","https://peps.python.org//pep-0371","PEP 371 – Addition of the multiprocessing package to the standard library"
"Final","https://peps.python.org//pep-0372","PEP 372 – Adding an ordered dictionary to collections"
"Final","https://peps.python.org//pep-0373","PEP 373 – Python 2.7 Release Schedule"
"Final","https://peps.python.org//pep-0374","PEP 374 – Choosing a distributed VCS for the Python project"
"Final","https://peps.python.org//pep-0375","PEP 375 – Python 3.1 Release Schedule"
"Final","https://peps.python.org//pep-0376","PEP 376 – Database of Installed Python Distributions"
"Rejected","https://peps.python.org//pep-0377","PEP 377 – Allow __enter__() methods to skip the statement body"
"Final","https://peps.python.org//pep-0378","PEP 378 – Format Specifier for Thousands Separator"
"Withdrawn","https://peps.python.org//pep-0379","PEP 379 – Adding an Assignment Expression"
"Final","https://peps.python.org//pep-0380","PEP 380 – Syntax for Delegating to a Subgenerator"
"Withdrawn","https://peps.python.org//pep-0381","PEP 381 – Mirroring infrastructure for PyPI"
"Rejected","https://peps.python.org//pep-0382","PEP 382 – Namespace Packages"
"Final","https://peps.python.org//pep-0383","PEP 383 – Non-decodable Bytes in System Character Interfaces"
"Final","https://peps.python.org//pep-0384","PEP 384 – Defining a Stable ABI"
"Final","https://peps.python.org//pep-0385","PEP 385 – Migrating from Subversion to Mercurial"
"Superseded","https://peps.python.org//pep-0386","PEP 386 – Changing the version comparison module in Distutils"
"Active","https://peps.python.org//pep-0387","PEP 387 – Backwards Compatibility Policy"
"Final","https://peps.python.org//pep-0389","PEP 389 – argparse - New Command Line Parsing Module"
"Rejected","https://peps.python.org//pep-0390","PEP 390 – Static metadata for Distutils"
"Final","https://peps.python.org//pep-0391","PEP 391 – Dictionary-Based Configuration For Logging"
"Final","https://peps.python.org//pep-0392","PEP 392 – Python 3.2 Release Schedule"
"Final","https://peps.python.org//pep-0393","PEP 393 – Flexible String Representation"
"Active","https://peps.python.org//pep-0394","PEP 394 – The “python” Command on Unix-Like Systems"
"Withdrawn","https://peps.python.org//pep-0395","PEP 395 – Qualified Names for Modules"
"Rejected","https://peps.python.org//pep-0396","PEP 396 – Module Version Numbers"
"Final","https://peps.python.org//pep-0397","PEP 397 – Python launcher for Windows"
"Final","https://peps.python.org//pep-0398","PEP 398 – Python 3.3 Release Schedule"
"Final","https://peps.python.org//pep-0399","PEP 399 – Pure Python/C Accelerator Module Compatibility Requirements"
"Deferred","https://peps.python.org//pep-0400","PEP 400 – Deprecate codecs.StreamReader and codecs.StreamWriter"
"April","https://peps.python.org//pep-0401","PEP 401 – BDFL Retirement"
"Rejected","https://peps.python.org//pep-0402","PEP 402 – Simplified Package Layout and Partitioning"
