"Cтатус","Количество"
"Rejected","https://peps.python.org//pep-0516","PEP 516 – Build system abstraction for pip/conda etc"
"Final","https://peps.python.org//pep-0517","PEP 517 – A build-system independent format for source trees"
"Final","https://peps.python.org//pep-0518","PEP 518 – Specifying Minimum Build System Requirements for Python Projects"
"Final","https://peps.python.org//pep-0519","PEP 519 – Adding a file system path protocol"
"Final","https://peps.python.org//pep-0520","PEP 520 – Preserving Class Attribute Definition Order"
"Withdrawn","https://peps.python.org//pep-0521","PEP 521 – Managing global context via ‘with’ blocks in generators and coroutines"
"Rejected","https://peps.python.org//pep-0522","PEP 522 – Allow BlockingIOError in security sensitive APIs"
"Final","https://peps.python.org//pep-0523","PEP 523 – Adding a frame evaluation API to CPython"
"Final","https://peps.python.org//pep-0524","PEP 524 – Make os.urandom() blocking on Linux"
"Final","https://peps.python.org//pep-0525","PEP 525 – Asynchronous Generators"
"Final","https://peps.python.org//pep-0526","PEP 526 – Syntax for Variable Annotations"
"Final","https://peps.python.org//pep-0527","PEP 527 – Removing Un(der)used file types/extensions on PyPI"
"Final","https://peps.python.org//pep-0528","PEP 528 – Change Windows console encoding to UTF-8"
"Final","https://peps.python.org//pep-0529","PEP 529 – Change Windows filesystem encoding to UTF-8"
"Final","https://peps.python.org//pep-0530","PEP 530 – Asynchronous Comprehensions"
"Withdrawn","https://peps.python.org//pep-0531","PEP 531 – Existence checking operators"
"Deferred","https://peps.python.org//pep-0532","PEP 532 – A circuit breaking protocol and binary operators"
"Deferred","https://peps.python.org//pep-0533","PEP 533 – Deterministic cleanup for iterators"
"Deferred","https://peps.python.org//pep-0534","PEP 534 – Improved Errors for Missing Standard Library Modules"
"Deferred","https://peps.python.org//pep-0535","PEP 535 – Rich comparison chaining"
"Deferred","https://peps.python.org//pep-0536","PEP 536 – Final Grammar for Literal String Interpolation"
"Active","https://peps.python.org//pep-0537","PEP 537 – Python 3.7 Release Schedule"
"Final","https://peps.python.org//pep-0538","PEP 538 – Coercing the legacy C locale to a UTF-8 based locale"
"Final","https://peps.python.org//pep-0539","PEP 539 – A New C-API for Thread-Local Storage in CPython"
"Final","https://peps.python.org//pep-0540","PEP 540 – Add a new UTF-8 Mode"
"Final","https://peps.python.org//pep-0541","PEP 541 – Package Index Name Retention"
"Rejected","https://peps.python.org//pep-0542","PEP 542 – Dot Notation Assignment In Function Header"
"Withdrawn","https://peps.python.org//pep-0543","PEP 543 – A Unified TLS API for Python"
"Accepted","https://peps.python.org//pep-0544","PEP 544 – Protocols: Structural subtyping (static duck typing)"
"Final","https://peps.python.org//pep-0545","PEP 545 – Python Documentation Translations"
"Rejected","https://peps.python.org//pep-0546","PEP 546 – Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7"
"Deferred","https://peps.python.org//pep-0547","PEP 547 – Running extension modules using the -m option"
"Rejected","https://peps.python.org//pep-0548","PEP 548 – More Flexible Loop Control"
"Rejected","https://peps.python.org//pep-0549","PEP 549 – Instance Descriptors"
"Withdrawn","https://peps.python.org//pep-0550","PEP 550 – Execution Context"
"Withdrawn","https://peps.python.org//pep-0551","PEP 551 – Security transparency in the Python runtime"
"Final","https://peps.python.org//pep-0552","PEP 552 – Deterministic pycs"
"Final","https://peps.python.org//pep-0553","PEP 553 – Built-in breakpoint()"
"Draft","https://peps.python.org//pep-0554","PEP 554 – Multiple Interpreters in the Stdlib"
"Withdrawn","https://peps.python.org//pep-0555","PEP 555 – Context-local variables (contextvars)"
"Deferred","https://peps.python.org//pep-0556","PEP 556 – Threaded garbage collection"
"Final","https://peps.python.org//pep-0557","PEP 557 – Data Classes"
"Draft","https://peps.python.org//pep-0558","PEP 558 – Defined semantics for locals()"
"Rejected","https://peps.python.org//pep-0559","PEP 559 – Built-in noop()"
"Accepted","https://peps.python.org//pep-0560","PEP 560 – Core support for typing module and generic types"
"Final","https://peps.python.org//pep-0561","PEP 561 – Distributing and Packaging Type Information"
"Final","https://peps.python.org//pep-0562","PEP 562 – Module __getattr__ and __dir__"
"Accepted","https://peps.python.org//pep-0563","PEP 563 – Postponed Evaluation of Annotations"
"Final","https://peps.python.org//pep-0564","PEP 564 – Add new time functions with nanosecond resolution"
"Final","https://peps.python.org//pep-0565","PEP 565 – Show DeprecationWarning in __main__"
"Final","https://peps.python.org//pep-0566","PEP 566 – Metadata for Python Software Packages 2.1"
"Final","https://peps.python.org//pep-0567","PEP 567 – Context Variables"
"Deferred","https://peps.python.org//pep-0568","PEP 568 – Generator-sensitivity for Context Variables"
"Active","https://peps.python.org//pep-0569","PEP 569 – Python 3.8 Release Schedule"
"Final","https://peps.python.org//pep-0570","PEP 570 – Python Positional-Only Parameters"
"Superseded","https://peps.python.org//pep-0571","PEP 571 – The manylinux2010 Platform Tag"
"Accepted","https://peps.python.org//pep-0572","PEP 572 – Assignment Expressions"
"Final","https://peps.python.org//pep-0573","PEP 573 – Module State Access from C Extension Methods"
"Final","https://peps.python.org//pep-0574","PEP 574 – Pickle protocol 5 with out-of-band data"
"Withdrawn","https://peps.python.org//pep-0575","PEP 575 – Unifying function/method classes"
"Withdrawn","https://peps.python.org//pep-0576","PEP 576 – Rationalize Built-in function classes"
"Withdrawn","https://peps.python.org//pep-0577","PEP 577 – Augmented Assignment Expressions"
"Accepted","https://peps.python.org//pep-0578","PEP 578 – Python Runtime Audit Hooks"
"Final","https://peps.python.org//pep-0579","PEP 579 – Refactoring C functions and methods"
"Rejected","https://peps.python.org//pep-0580","PEP 580 – The C call protocol"
"Accepted","https://peps.python.org//pep-0581","PEP 581 – Using GitHub Issues for CPython"
"Draft","https://peps.python.org//pep-0582","PEP 582 – Python local packages directory"
"Withdrawn","https://peps.python.org//pep-0583","PEP 583 – A Concurrency Memory Model for Python"
"Final","https://peps.python.org//pep-0584","PEP 584 – Add Union Operators To dict"
"Accepted","https://peps.python.org//pep-0585","PEP 585 – Type Hinting Generics In Standard Collections"
"Accepted","https://peps.python.org//pep-0586","PEP 586 – Literal Types"
"Final","https://peps.python.org//pep-0587","PEP 587 – Python Initialization Configuration"
"Draft","https://peps.python.org//pep-0588","PEP 588 – GitHub Issues Migration Plan"
"Accepted","https://peps.python.org//pep-0589","PEP 589 – TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys"
"Accepted","https://peps.python.org//pep-0590","PEP 590 – Vectorcall: a fast calling protocol for CPython"
"Accepted","https://peps.python.org//pep-0591","PEP 591 – Adding a final qualifier to typing"
"Final","https://peps.python.org//pep-0592","PEP 592 – Adding “Yank” Support to the Simple API"
"Accepted","https://peps.python.org//pep-0593","PEP 593 – Flexible function and variable annotations"
"Accepted","https://peps.python.org//pep-0594","PEP 594 – Removing dead batteries from the standard library"
"Withdrawn","https://peps.python.org//pep-0595","PEP 595 – Improving bugs.python.org"
"Active","https://peps.python.org//pep-0596","PEP 596 – Python 3.9 Release Schedule"
"Final","https://peps.python.org//pep-0597","PEP 597 – Add optional EncodingWarning"
"Withdrawn","https://peps.python.org//pep-0598","PEP 598 – Introducing incremental feature releases"
"Superseded","https://peps.python.org//pep-0599","PEP 599 – The manylinux2014 Platform Tag"
"Final","https://peps.python.org//pep-0600","PEP 600 – Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions"
"Rejected","https://peps.python.org//pep-0601","PEP 601 – Forbid return/break/continue breaking out of finally"
"Accepted","https://peps.python.org//pep-0602","PEP 602 – Annual Release Cycle for Python"
"Draft","https://peps.python.org//pep-0603","PEP 603 – Adding a frozenmap type to collections"
"Accepted","https://peps.python.org//pep-0604","PEP 604 – Allow writing union types as X | Y"
"Rejected","https://peps.python.org//pep-0605","PEP 605 – A rolling feature release stream for CPython"
"Rejected","https://peps.python.org//pep-0606","PEP 606 – Python Compatibility Version"
"Final","https://peps.python.org//pep-0607","PEP 607 – Reducing CPython’s Feature Delivery Latency"
"Rejected","https://peps.python.org//pep-0608","PEP 608 – Coordinated Python release"
"Active","https://peps.python.org//pep-0609","PEP 609 – Python Packaging Authority (PyPA) Governance"
"Final","https://peps.python.org//pep-0610","PEP 610 – Recording the Direct URL Origin of installed distributions"
"Withdrawn","https://peps.python.org//pep-0611","PEP 611 – The one million limit"
"Accepted","https://peps.python.org//pep-0612","PEP 612 – Parameter Specification Variables"
"Accepted","https://peps.python.org//pep-0613","PEP 613 – Explicit Type Aliases"
"Final","https://peps.python.org//pep-0614","PEP 614 – Relaxing Grammar Restrictions On Decorators"
"Accepted","https://peps.python.org//pep-0615","PEP 615 – Support for the IANA Time Zone Database in the Standard Library"
"Accepted","https://peps.python.org//pep-0616","PEP 616 – String methods to remove prefixes and suffixes"
"Accepted","https://peps.python.org//pep-0617","PEP 617 – New PEG parser for CPython"
"Final","https://peps.python.org//pep-0618","PEP 618 – Add Optional Length-Checking To zip"
"Draft","https://peps.python.org//pep-0619","PEP 619 – Python 3.10 Release Schedule"
"Draft","https://peps.python.org//pep-0620","PEP 620 – Hide implementation details from the C API"
"Final","https://peps.python.org//pep-0621","PEP 621 – Storing project metadata in pyproject.toml"
"Superseded","https://peps.python.org//pep-0622","PEP 622 – Structural Pattern Matching"
"Final","https://peps.python.org//pep-0623","PEP 623 – Remove wstr from Unicode"
"Final","https://peps.python.org//pep-0624","PEP 624 – Remove Py_UNICODE encoder APIs"
"Draft","https://peps.python.org//pep-0625","PEP 625 – Filename of a Source Distribution"
"Final","https://peps.python.org//pep-0626","PEP 626 – Precise line numbers for debugging and other tools."
"Final","https://peps.python.org//pep-0627","PEP 627 – Recording installed projects"
"Final","https://peps.python.org//pep-0628","PEP 628 – Add math.tau"
"Final","https://peps.python.org//pep-0629","PEP 629 – Versioning PyPI’s Simple API"
"Active","https://peps.python.org//pep-0630","PEP 630 – Isolating Extension Modules"
"Superseded","https://peps.python.org//pep-0631","PEP 631 – Dependency specification in pyproject.toml based on PEP 508"
"Accepted","https://peps.python.org//pep-0632","PEP 632 – Deprecate distutils module"
"Rejected","https://peps.python.org//pep-0633","PEP 633 – Dependency specification in pyproject.toml using an exploded TOML table"
"Accepted","https://peps.python.org//pep-0634","PEP 634 – Structural Pattern Matching: Specification"
"Final","https://peps.python.org//pep-0635","PEP 635 – Structural Pattern Matching: Motivation and Rationale"
"Final","https://peps.python.org//pep-0636","PEP 636 – Structural Pattern Matching: Tutorial"
"Rejected","https://peps.python.org//pep-0637","PEP 637 – Support for indexing with keyword arguments"
"Draft","https://peps.python.org//pep-0638","PEP 638 – Syntactic Macros"
"Draft","https://peps.python.org//pep-0639","PEP 639 – Improving License Clarity with Better Package Metadata"
"Rejected","https://peps.python.org//pep-0640","PEP 640 – Unused variable syntax"
"Rejected","https://peps.python.org//pep-0641","PEP 641 – Using an underscore in the version portion of Python 3.10 compatibility tags"
"Rejected","https://peps.python.org//pep-0642","PEP 642 – Explicit Pattern Syntax for Structural Pattern Matching"
"Final","https://peps.python.org//pep-0643","PEP 643 – Metadata for Package Source Distributions"
"Final","https://peps.python.org//pep-0644","PEP 644 – Require OpenSSL 1.1.1 or newer"
"Withdrawn","https://peps.python.org//pep-0645","PEP 645 – Allow writing optional types as x?"
"Accepted","https://peps.python.org//pep-0646","PEP 646 – Variadic Generics"
"Accepted","https://peps.python.org//pep-0647","PEP 647 – User-Defined Type Guards"
"Rejected","https://peps.python.org//pep-0648","PEP 648 – Extensible customizations of the interpreter at startup"
"Draft","https://peps.python.org//pep-0649","PEP 649 – Deferred Evaluation Of Annotations Using Descriptors"
"Withdrawn","https://peps.python.org//pep-0650","PEP 650 – Specifying Installer Requirements for Python Projects"
"Rejected","https://peps.python.org//pep-0651","PEP 651 – Robust Stack Overflow Handling"
"Final","https://peps.python.org//pep-0652","PEP 652 – Maintaining the Stable ABI"
"Draft","https://peps.python.org//pep-0653","PEP 653 – Precise Semantics for Pattern Matching"
"Accepted","https://peps.python.org//pep-0654","PEP 654 – Exception Groups and except*"
"Accepted","https://peps.python.org//pep-0655","PEP 655 – Marking individual TypedDict items as required or potentially-missing"
"Final","https://peps.python.org//pep-0656","PEP 656 – Platform Tag for Linux Distributions Using Musl"
"Final","https://peps.python.org//pep-0657","PEP 657 – Include Fine Grained Error Locations in Tracebacks"
"Accepted","https://peps.python.org//pep-0658","PEP 658 – Serve Distribution Metadata in the Simple Repository API"
"Draft","https://peps.python.org//pep-0659","PEP 659 – Specializing Adaptive Interpreter"
"Final","https://peps.python.org//pep-0660","PEP 660 – Editable installs for pyproject.toml based builds (wheel based)"
"Draft","https://peps.python.org//pep-0661","PEP 661 – Sentinel Values"
"Rejected","https://peps.python.org//pep-0662","PEP 662 – Editable installs via virtual wheels"
"Rejected","https://peps.python.org//pep-0663","PEP 663 – Standardizing Enum str(), repr(), and format() behaviors"
"Draft","https://peps.python.org//pep-0664","PEP 664 – Python 3.11 Release Schedule"
"Rejected","https://peps.python.org//pep-0665","PEP 665 – A file format to list Python dependencies for reproducibility of an application"
"Rejected","https://peps.python.org//pep-0666","PEP 666 – Reject Foolish Indentation"
"Draft","https://peps.python.org//pep-0667","PEP 667 – Consistent views of namespaces"
"Accepted","https://peps.python.org//pep-0668","PEP 668 – Marking Python base environments as “externally managed”"
"Draft","https://peps.python.org//pep-0669","PEP 669 – Low Impact Monitoring for CPython"
"Final","https://peps.python.org//pep-0670","PEP 670 – Convert macros to functions in the Python C API"
"Draft","https://peps.python.org//pep-0671","PEP 671 – Syntax for late-bound function argument defaults"
"Active","https://peps.python.org//pep-0672","PEP 672 – Unicode-related Security Considerations for Python"
"Accepted","https://peps.python.org//pep-0673","PEP 673 – Self Type"
"Draft","https://peps.python.org//pep-0674","PEP 674 – Disallow using macros as l-values"
"Accepted","https://peps.python.org//pep-0675","PEP 675 – Arbitrary Literal String Type"
"Active","https://peps.python.org//pep-0676","PEP 676 – PEP Infrastructure Process"
"Rejected","https://peps.python.org//pep-0677","PEP 677 – Callable Type Syntax"
"Accepted","https://peps.python.org//pep-0678","PEP 678 – Enriching Exceptions with Notes"
"Draft","https://peps.python.org//pep-0679","PEP 679 – Allow parentheses in assert statements"
"Accepted","https://peps.python.org//pep-0680","PEP 680 – tomllib: Support for Parsing TOML in the Standard Library"
"Accepted","https://peps.python.org//pep-0681","PEP 681 – Data Class Transforms"
"Final","https://peps.python.org//pep-0682","PEP 682 – Format Specifier for Signed Zero"
"Draft","https://peps.python.org//pep-0683","PEP 683 – Immortal Objects, Using a Fixed Refcount"
"Draft","https://peps.python.org//pep-0684","PEP 684 – A Per-Interpreter GIL"
"Accepted","https://peps.python.org//pep-0685","PEP 685 – Comparison of extra names for optional distribution dependencies"
"Accepted","https://peps.python.org//pep-0686","PEP 686 – Make UTF-8 mode default"
"Accepted","https://peps.python.org//pep-0687","PEP 687 – Isolating modules in the standard library"
"Draft","https://peps.python.org//pep-0688","PEP 688 – Making the buffer protocol accessible in Python"
"Draft","https://peps.python.org//pep-0689","PEP 689 – Unstable C API tier"
"Draft","https://peps.python.org//pep-0690","PEP 690 – Lazy Imports"
"Accepted","https://peps.python.org//pep-0691","PEP 691 – JSON-based Simple API for Python Package Indexes"
"Draft","https://peps.python.org//pep-0692","PEP 692 – Using TypedDict for more precise **kwargs typing"
"Draft","https://peps.python.org//pep-0693","PEP 693 – Python 3.12 Release Schedule"
"Draft","https://peps.python.org//pep-0694","PEP 694 – Upload 2.0 API for Python Package Repositories"
"Draft","https://peps.python.org//pep-0695","PEP 695 – Type Parameter Syntax"
"Draft","https://peps.python.org//pep-0696","PEP 696 – Type defaults for TypeVarLikes"
"Rejected","https://peps.python.org//pep-0754","PEP 754 – IEEE 754 Floating Point Special Values"
"Active","https://peps.python.org//pep-0801","PEP 801 – Reserved"
"Final","https://peps.python.org//pep-3000","PEP 3000 – Python 3000"
"Withdrawn","https://peps.python.org//pep-3001","PEP 3001 – Procedure for reviewing and improving standard library modules"
"Final","https://peps.python.org//pep-3002","PEP 3002 – Procedure for Backwards-Incompatible Changes"
"Final","https://peps.python.org//pep-3003","PEP 3003 – Python Language Moratorium"
"Final","https://peps.python.org//pep-3099","PEP 3099 – Things that will Not Change in Python 3000"
"Final","https://peps.python.org//pep-3100","PEP 3100 – Miscellaneous Python 3.0 Plans"
"Final","https://peps.python.org//pep-3101","PEP 3101 – Advanced String Formatting"
"Final","https://peps.python.org//pep-3102","PEP 3102 – Keyword-Only Arguments"
"Rejected","https://peps.python.org//pep-3103","PEP 3103 – A Switch/Case Statement"
"Final","https://peps.python.org//pep-3104","PEP 3104 – Access to Names in Outer Scopes"
"Final","https://peps.python.org//pep-3105","PEP 3105 – Make print a function"
"Final","https://peps.python.org//pep-3106","PEP 3106 – Revamping dict.keys(), .values() and .items()"
"Final","https://peps.python.org//pep-3107","PEP 3107 – Function Annotations"
"Final","https://peps.python.org//pep-3108","PEP 3108 – Standard Library Reorganization"
"Final","https://peps.python.org//pep-3109","PEP 3109 – Raising Exceptions in Python 3000"
"Final","https://peps.python.org//pep-3110","PEP 3110 – Catching Exceptions in Python 3000"
"Final","https://peps.python.org//pep-3111","PEP 3111 – Simple input built-in in Python 3000"
"Final","https://peps.python.org//pep-3112","PEP 3112 – Bytes literals in Python 3000"
"Final","https://peps.python.org//pep-3113","PEP 3113 – Removal of Tuple Parameter Unpacking"
"Final","https://peps.python.org//pep-3114","PEP 3114 – Renaming iterator.next() to iterator.__next__()"
"Final","https://peps.python.org//pep-3115","PEP 3115 – Metaclasses in Python 3000"
"Final","https://peps.python.org//pep-3116","PEP 3116 – New I/O"
"Rejected","https://peps.python.org//pep-3117","PEP 3117 – Postfix type declarations"
"Final","https://peps.python.org//pep-3118","PEP 3118 – Revising the buffer protocol"
"Final","https://peps.python.org//pep-3119","PEP 3119 – Introducing Abstract Base Classes"
"Final","https://peps.python.org//pep-3120","PEP 3120 – Using UTF-8 as the default source encoding"
"Accepted","https://peps.python.org//pep-3121","PEP 3121 – Extension Module Initialization and Finalization"
"Rejected","https://peps.python.org//pep-3122","PEP 3122 – Delineation of the main module"
"Final","https://peps.python.org//pep-3123","PEP 3123 – Making PyObject_HEAD conform to standard C"
"Deferred","https://peps.python.org//pep-3124","PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation"
"Rejected","https://peps.python.org//pep-3125","PEP 3125 – Remove Backslash Continuation"
"Rejected","https://peps.python.org//pep-3126","PEP 3126 – Remove Implicit String Concatenation"
"Final","https://peps.python.org//pep-3127","PEP 3127 – Integer Literal Support and Syntax"
"Rejected","https://peps.python.org//pep-3128","PEP 3128 – BList: A Faster List-like Type"
"Final","https://peps.python.org//pep-3129","PEP 3129 – Class Decorators"
"Rejected","https://peps.python.org//pep-3130","PEP 3130 – Access to Current Module/Class/Function"
"Final","https://peps.python.org//pep-3131","PEP 3131 – Supporting Non-ASCII Identifiers"
"Final","https://peps.python.org//pep-3132","PEP 3132 – Extended Iterable Unpacking"
"Rejected","https://peps.python.org//pep-3133","PEP 3133 – Introducing Roles"
"Final","https://peps.python.org//pep-3134","PEP 3134 – Exception Chaining and Embedded Tracebacks"
"Final","https://peps.python.org//pep-3135","PEP 3135 – New Super"
"Rejected","https://peps.python.org//pep-3136","PEP 3136 – Labeled break and continue"
"Final","https://peps.python.org//pep-3137","PEP 3137 – Immutable Bytes and Mutable Buffer"
"Final","https://peps.python.org//pep-3138","PEP 3138 – String representation in Python 3000"
"Rejected","https://peps.python.org//pep-3139","PEP 3139 – Cleaning out sys and the “interpreter” module"
"Rejected","https://peps.python.org//pep-3140","PEP 3140 – str(container) should call str(item), not repr(item)"
"Final","https://peps.python.org//pep-3141","PEP 3141 – A Type Hierarchy for Numbers"
"Rejected","https://peps.python.org//pep-3142","PEP 3142 – Add a “while” clause to generator expressions"
"Deferred","https://peps.python.org//pep-3143","PEP 3143 – Standard daemon process library"
"Final","https://peps.python.org//pep-3144","PEP 3144 – IP Address Manipulation Library for the Python Standard Library"
"Withdrawn","https://peps.python.org//pep-3145","PEP 3145 – Asynchronous I/O For subprocess.Popen"
"Withdrawn","https://peps.python.org//pep-3146","PEP 3146 – Merging Unladen Swallow into CPython"
"Final","https://peps.python.org//pep-3147","PEP 3147 – PYC Repository Directories"
"Final","https://peps.python.org//pep-3148","PEP 3148 – futures - execute computations asynchronously"
"Final","https://peps.python.org//pep-3149","PEP 3149 – ABI version tagged .so files"
"Deferred","https://peps.python.org//pep-3150","PEP 3150 – Statement local namespaces (aka “given” clause)"
"Final","https://peps.python.org//pep-3151","PEP 3151 – Reworking the OS and IO exception hierarchy"
"Rejected","https://peps.python.org//pep-3152","PEP 3152 – Cofunctions"
"Superseded","https://peps.python.org//pep-3153","PEP 3153 – Asynchronous IO support"
"Final","https://peps.python.org//pep-3154","PEP 3154 – Pickle protocol version 4"
"Final","https://peps.python.org//pep-3155","PEP 3155 – Qualified name for classes and functions"
"Final","https://peps.python.org//pep-3156","PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module"
"Final","https://peps.python.org//pep-3333","PEP 3333 – Python Web Server Gateway Interface v1.0.1"
"Active","https://peps.python.org//pep-8000","PEP 8000 – Python Language Governance Proposal Overview"
"Final","https://peps.python.org//pep-8001","PEP 8001 – Python Governance Voting Process"
"Active","https://peps.python.org//pep-8002","PEP 8002 – Open Source Governance Survey"
"Rejected","https://peps.python.org//pep-8010","PEP 8010 – The Technical Leader Governance Model"
"Rejected","https://peps.python.org//pep-8011","PEP 8011 – Python Governance Model Lead by Trio of Pythonistas"
"Rejected","https://peps.python.org//pep-8012","PEP 8012 – The Community Governance Model"
"Rejected","https://peps.python.org//pep-8013","PEP 8013 – The External Council Governance Model"
"Rejected","https://peps.python.org//pep-8014","PEP 8014 – The Commons Governance Model"
"Rejected","https://peps.python.org//pep-8015","PEP 8015 – Organization of the Python community"
"Accepted","https://peps.python.org//pep-8016","PEP 8016 – The Steering Council Model"
"Active","https://peps.python.org//pep-8100","PEP 8100 – January 2019 steering council election"
"Active","https://peps.python.org//pep-8101","PEP 8101 – 2020 Term steering council election"
"Active","https://peps.python.org//pep-8102","PEP 8102 – 2021 Term steering council election"
"Active","https://peps.python.org//pep-8103","PEP 8103 – 2022 Term steering council election"
"Total: ","594"
